Name,SOL_ID_BO_ID,SO Name,MIS,PPFGP,SSA,RD,SBBAS,SBSGP,SCSS,TD,PRFTS,KVN,NSC8,MSSC
Saran B.O,L4931,Dhin S.O,,,3.0,1.0,,5.0,,12.0,,,,
Saraswati Nagar S.O,13310301,,15.0,1.0,17.0,60.0,0.0,42.0,7.0,77.0,,7.0,5.0,
Sarawan S.O,13320601,,1.0,3.0,4.0,16.0,,18.0,1.0,24.0,,1.0,,
Sardaheri B.O,E0832,Sarawan S.O,,,,2.0,,7.0,,6.0,,,,
Sarsehri B.O,D2684,Babyal S.O,,,4.0,,,3.0,,,,,,
SAUNTA,M6340,Durga Nagar S.O,,,2.0,1.0,,1.0,,3.0,,,,
Sector 15 Panchkula S.O,13411302,,37.0,,19.0,130.0,,44.0,17.0,117.0,,16.0,56.0,
Sector 20 Panchkula S.O,13411701,,6.0,1.0,4.0,23.0,,12.0,12.0,27.0,,2.0,21.0,
Sector 26 Panchkula S.O,13411601,,2.0,1.0,7.0,10.0,,7.0,10.0,8.0,,,2.0,
SEGTI,M6341,Durga Nagar S.O,,,,2.0,,2.0,,1.0,,,,
Sewan Majra B.O,I1899,Adhoya S.O,,,,2.0,,3.0,,7.0,,,,
Shadi Pur B.O,L7573,Thermal Colony Yamuna Nagar S.O,,,,,,1.0,,,,,,
Shah Pur B.O,F8449,Kuldeep Nagar S.O,,,2.0,2.0,,11.0,,10.0,,,,
Shahpur Nurd B.O,G6217,Sarawan S.O,,,3.0,2.0,,6.0,,,,,,
Shahzadpur S.O.,13420201,,2.0,,7.0,70.0,,31.0,4.0,47.0,,2.0,13.0,
Sherpur Sulkhani B.O,D2489,Sarawan S.O,,,1.0,,,1.0,,3.0,,,,
Silikalan B.O,I4690,Radaur S.O,,,1.0,2.0,,1.0,,7.0,,,,
Sohana B.O,E1837,Mullana S.O,,,5.0,,,7.0,,2.0,,,,
Sohata B.O,I1911,Barara S.O,,,1.0,,,3.0,,8.0,,,,
Subzi  Mandi S.O,13400311,,11.0,,4.0,35.0,,15.0,1.0,72.0,,4.0,23.0,
Suketri B.O,G5269,Panchkula Sector 8 S.O,,,1.0,3.0,,1.0,,,,,,
